[2026-05-06 11:15:03] IP: 105.111.52.130 | Action: LOGIN_FAILED | Details: Invalid password attempt from IP: 105.111.52.130
[2026-05-06 11:15:06] IP: 105.111.52.130 | Action: LOGIN_FAILED | Details: Invalid password attempt from IP: 105.111.52.130
[2026-05-06 11:15:25] IP: 105.111.52.130 | Action: LOGIN_SUCCESS | Details: Admin logged in from IP: 105.111.52.130
[2026-05-06 11:15:40] IP: 105.111.52.130 | Action: KEY_CREATED | Details: Key: KEY_652B***
[2026-05-06 11:16:58] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_REQUEST | Details: Key: KEY_652B***
[2026-05-06 11:16:58] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: NEW_DEVICE | Details: Key: KEY_652B*** - HWID: aa6a23624738***
[2026-05-06 11:16:58] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_SUCCESS | Details: Key: KEY_652B***
[2026-05-06 11:17:48] IP: 2401:4900:64fb:1237::1224:9d81 | Action: API_REQUEST | Details: Key: KEY_652B***
[2026-05-06 11:17:48] IP: 2401:4900:64fb:1237::1224:9d81 | Action: NEW_DEVICE | Details: Key: KEY_652B*** - HWID: 86ab5ca725a7***
[2026-05-06 11:17:48] IP: 2401:4900:64fb:1237::1224:9d81 | Action: API_SUCCESS | Details: Key: KEY_652B***
[2026-05-06 11:18:34] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_REQUEST | Details: Key: KEY_652B***
[2026-05-06 11:18:34] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_SUCCESS | Details: Key: KEY_652B***
[2026-05-06 11:21:36] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_REQUEST | Details: Key: KEY_652B***
[2026-05-06 11:21:36] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: API_SUCCESS | Details: Key: KEY_652B***
[2026-05-06 11:24:40] IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7 | Action: LOGIN_SUCCESS | Details: Admin logged in from IP: 2804:3e04:438:aa00:d26d:5fc2:4194:a1a7
[2026-05-06 11:26:31] IP: 2401:4900:64fb:1237::1224:9d81 | Action: LOGIN_FAILED | Details: Invalid password attempt from IP: 2401:4900:64fb:1237::1224:9d81
[2026-05-06 11:27:06] IP: 2401:4900:64fb:1237::1224:9d81 | Action: LOGIN_SUCCESS | Details: Admin logged in from IP: 2401:4900:64fb:1237::1224:9d81
[2026-05-06 11:29:19] IP: 113.166.22.195 | Action: LOGIN_SUCCESS | Details: Admin logged in from IP: 113.166.22.195
[2026-05-06 11:31:27] IP: 105.111.52.130 | Action: CSRF_FAILED | Details: Invalid CSRF token
[2026-05-06 11:31:30] IP: 105.111.52.130 | Action: CSRF_FAILED | Details: Invalid CSRF token
[2026-05-06 11:31:36] IP: 105.111.52.130 | Action: CSRF_FAILED | Details: Invalid CSRF token
[2026-05-06 11:31:41] IP: 105.111.52.130 | Action: CSRF_FAILED | Details: Invalid CSRF token
[2026-05-06 11:36:34] IP: 105.111.52.130 | Action: LOGOUT | Details: User logged out
[2026-05-06 11:36:43] IP: 105.111.52.130 | Action: LOGIN_SUCCESS | Details: Admin logged in from IP: 105.111.52.130
[2026-05-06 11:38:20] IP: 103.156.248.118 | Action: LOGIN_FAILED | Details: Invalid password attempt from IP: 103.156.248.118
[2026-05-06 11:38:51] IP: 103.156.248.118 | Action: LOGIN_FAILED | Details: Invalid password attempt from IP: 103.156.248.118
[2026-05-06 11:39:46] IP: 2401:4900:64fb:1237::1224:9d81 | Action: API_REQUEST | Details: Key: KEY_652B***
[2026-05-06 11:39:46] IP: 2401:4900:64fb:1237::1224:9d81 | Action: API_SUCCESS | Details: Key: KEY_652B***
